address, amount
0x7773a2ee2461226000646112331ff43315F1E055,1
0x3fe1FF2dB7465e498909D4EC5562656c9B980558,1
0xc79A3019C824e512BC7c6f2d64C0cCaC5308A020,1
0xEDB7AF625443Bec75d53544e091Ee3492ede8BC2,1
0x6674BaE9d14c578EAD66e7bA5D37b351e604Cb35,1
0x0d0bD6469BE80d57893cf1B21434936dfAA35319,1
0xE8cd4cB68dd4c79d118368F36D8564F3134c180D,1
0x047bb962CD288384e0cf4f408Ad44F7dE0145ef3,1
0xb29b11222E700Cd13BF5a546D1C61F37bC0a4D8f,1
0x764172F0823089Aa35739d7C837b6EFb7EFfbc44,1
0xEE4968a9eD0b6dB4316C1A3216d2b2847C459ED1,1
0xea886349d44AA81DE644f0F02105707f563103E6,1
0x1c3bE20A226333e26833618B96E9D10Aa741Da6e,1
0x3377F529021F7F2d3A14B9F8c972EB6b6C85ef32,1
0x00000000F03E67aa6626984e657a09E64C806DE8,1
0x2E3179c194EF3aBFaee73C38B45ef8c65b2137b1,1
0x708b2567ed8dc7998393D236aeF552C1A47C1E0d,1
0x792DB1912Ffb4fEed8559189a6cdd10D853e1B13,1
0xD1570080bcB784b4F5E378dfd4cDfFDfd6C110f6,1
0xa8B352389A1935E96880F28a7ba6EC0cfD907A6B,1
0x8B152bFcc0b45892c72Cab7B028aAE84F8237D76,1
0xF5b18c7BB5D760a7c899E0c48d855DC5A49f1949,1
0xE6C486eb5f5cC2C64b53AB6c3942986D648C9b89,1
0xE75304fE5bb590B6deA3CA13A8aBAb257c12E753,1
0x3DbaDc86d19416eC16D81aa07fF2609E6241E7E9,1
0x4C4C1E03497Fa1bB8F93Ded4b12E8A62513A0CAA,1
0xE1726c6f90534ebbC85A8bEabc42F2c89636469d,1
0xC53104EfC160292eB9f4Dc52c1A58d3ED54f9faf,1
0xbD23497f0BFf23FBeEA70Cd14D923Ed08c5e480F,1
0x3E149289fca31001aCd7b0B226FC050111b52cdc,1
0xf656970A1994C211aCdA565b8Fa85F045acA3E4d,1
0xd3f8d4322D18f7320912C18c88C55B3C8Cd9D83F,1
0x0B641c4437949026414435AB98C0239Dd9540632,1
0x1509ee6DC3F18379aCC47Ab7D349FC1913d2342c,1
0xb0040dCF754913A9B3Fce881E7579A7F01d8Fa15,1
0x39C5C994349e2c146C250289F0464dAEfe4c8d50,1
0x4FA4167b3C94A80416bBc768fB919BF3AcE9F8C2,1
0x6f6d5f70C1d9F54cf2B5359Ad17CEcf9Ba5a721f,1
0x553FF73812aa4A8e7f1d85BeE3352a726c4AF3DE,1
0x232544B0D3146fe79CAB4FEf04683ed593eced8A,1
0x31b4C292b4639a32A0aCA72B0451499B464c58cb,1
0x374d410f0edf510562aed617E8De0a47Baf5Cd60,1
0xD9137Aa63e6A02Fd7a87fD27eb5B1772C60C9a50,1
0xd6f6385F9650015def77F5437F2F7C5EE3D2F372,1
0x823948435ce93d196D6649ef6ED9D96Aa74Ba7aB,1
0xA00c99F5f955552742F1089deD88ABDC74E67Bac,1
0x0AeBE55030C3c578605A75e0FE1514FFA5ffD7fd,1
0x26B5D634b6dbaac62Fffb7170Ef284d28Af6C291,1
0x88f2eB1a185b3708062574FeF9fa474bA11fA3bc,1
0x8c0d5Cf17365Df315b8d334eB5552Be9F7Ff3978,1
0x7BfAf4C59aA4F011672b8e77789e1eb41abd654d,1
0xe53085d26544dAF3BA8f66B2D1B108E285cc51f9,1
0x2ede0ccEBFb3bf307DafC57Ff700183391620a69,1
0x094e4b82a5722271546CCa99c8C351BD840669AE,1
0xF226018b76f2F7cB45aD5829a7eEDD4214580a3F,1
0xdD11B416C5C5b9f5394B7e7Ef5Ed30A1d065f474,1
0xB2646e86Ca2546D0926eC2E512eC444000313a05,1
0x4dea563a60191c7231C8C557623B320a36EbaE0c,1
0xEA9a7c7cD8d4Dc3acc6f0AaEc1506C8D6041a1c5,1
0xf109367d4aCE9aE46031B69edD5412F892d3D1d7,1
0x8e2A89fF2F45ed7f8C8506f846200D671e2f176f,1
0x32c963B77dEe1E6B8669b1EfD23e56437E72de11,1
0xd0696dc76308FFbC3B56eb8cD6E598f01e270F41,1
0x3A3899382a919Ac446f69BCD547d8f10255DfC7C,1
0xE26f5B7624cf6De8EeF3d93643a2A06aE8A7ef82,1
0x7B8D1a2D07da289Ac55feF4Ce777B55011262630,1
0xb43dfF3d7A2cBcb4B2fBba4A5E67cD389Ba8260C,1
0x5241aa99a776866296D1d695C02bB2E31B3Ff998,1
0xA317d04f3401363fC03F8B40cF9A622743130B17,1
0xc8d384acC936f823aE5b617f88779a70EFF58FD0,1
0x413Db04A4d7207cAE7A7686639ce68CaAC137bAe,1
0x6581190B3eC8efb8EeE2531e8c80505B05cfD966,1
0x511b820F3C51C529d47E240C36C18ce785b13697,1
0x74ACF5190e62E702Ab1beaC99A30ca95AFCA461E,1
0xb31abfeF6710675de9E17E053C8466Ed3497757D,1
0x4A946f31F481B134F73910A31610C82AC579c5A4,1
0x9212aAd1cfEFbc07e670c06a0a0e29d1e2d2f13B,1
0xDDd3964D75D59B6B6d5c31eB313BBA5EBF076364,1
0xfcfdf5Cf7573CB8467A5d371419B024005Bc70B2,1
0x6E9A88971e957Abb41bAe4E2677caE258F0c1e76,1
0x97e0fbE1e37ab51d24b90a77c0Aa929d0c208876,1
0x087Ce745Cb7Bde228C0FB5FCb855628f42c7d5b3,1
0xa2e9eC27b948d85B11f7935728cB68E11D73D8Fd,1
0x2DCDf77e4F12BFb9E153833D0F69c55061282Ae5,1
0x46809f5ceBE47a3e47eFE5fdda8475e0095343a0,1
0x8e764854EB4d6261581A55107F8aD7d2392dFB63,1
0x2738Bd194b041B4049fC6d54c4F862cb464F7B49,1
0xEac0930860AD561246A1F91108f3B6bfFab39100,1
0x131975CA3E75259e60AFeb1cd34051A6804dA505,1
0xEf191aeb45A0d6f393D4a592f94152836d5758f8,1
0xAC6E453b964714200F353D2B435dF5BFd2393D71,1
0x135C21b2DA426760718E39DA954974c4572AE9f6,1
0x45C4937b83a4A9748FcC998e5e932c462E9DfD76,1
0xe285ed3Fae8a979C3A3Fd9c63aBF8875af0e87F4,1
0xF8C35Ab8bc40B7bcBf65ae47afC70b1424b5bE90,1
0xcb4B45d5D3FF1910E91116AF5C8C4408D0D2A32e,1
0x41b8644d8c77a1fa258eC647595E69fEB1caa029,1
0xeb902D415F3B0187b0dcf50Be41383E31a94d09F,1
0x0Dbb0CfF7C9515FC56d352EE37AeeEfdF43B25Fe,1
0xA516765f67619E316C5d4aB001a71f1ca14c70C8,1
0x47170ceaE335a9db7e96B72de630389669b33471,1
0x42FB05E09f8A477620dEFe49AF76e577Cbd791D8,1
0x979284053AA656630961bFbcea2E4aC233B898B8,1
0x48dbB9B7B562ACf3c38E53deAfF4686e24c3D85D,1
0xf1915abA3c55ba20258E6AD98760eEce256Eff28,1
0x80439266D56C9F9027A7711833E9807a09D8923e,1
0x9BBB55e271b1B5fc4833bDD88B753F889539dE0F,1
0xB7CA8dB84717c98dcF59Be2B3a612e75EF5D54b0,1
0x2F9F8172EfCc1355e5a18449D9B5B1041b3e4F8f,1
0x5ed54dEeAC1245D04ac2254064eC2522790992a1,1
0x0c2eC205cF0F50995dd84F0655b54848844Bda74,1
0x57001BD30496045ACb1E9bBd507440b301C1d9E3,1
0x8e469bfDF6f83F29871c4e1998a317A153043942,1
0xBD1f7d88C76A86C60d41bDDD4819fAe404e7151E,1
0x78060A72d6085f39B00F1b5E3907284F9B136bcD,1
0xDC7C0fA6755BD03AcBDb5ec0E4BDa9b5BC1dF22A,1
0x04b6eA5a19b8945eDdC4A141408ec34C2A55a34e,1
0xF2b7C8F1Cf94B9d8F08664137827f27F2eD00dc9,1
0x952c23f8F067A5e7e165ff0E42491f51D87DBc95,1
0xbCC44956d70536bed17C146a4D9E66261BB701DD,1
0xB7dE67cED8c5a758f68fbda6677ab48052c00c02,1
0x3A409EfF50A47aEeF294E3f0BB3874490dD99abc,1
0xCAFA92cF95c281f8906987D293eff535600fE73c,1
0x3904b0DD0373E8b470F3482Be089F757EC6aa6b7,1
0x71F05A6149980115Bf1155D1873812026C7c5F10,1
0x448FdA59Cda7C93d8E4476AcF0847f27e9E2C605,1
0x1F172F66730d2Ef5cAe06EDe52f2C0c26055Ba56,1
0xa9fD86fB66a7Cca5c480119d6388DEb8999d823E,1
